prompt,response,confidence,correct,model
normal,normal,0.09814453125,0,medgemma-4b-it
normal,normal,0.09814453125,0,medgemma-4b-it
normal,cardiomegaly,0.10205078125,0,medgemma-4b-it
normal,cardiomegaly,0.1240234375,0,medgemma-4b-it
normal,cardiomegaly,0.9921875,1,medgemma-4b-it
normal,normal,0.09814453125,0,medgemma-4b-it
focal left lateral base,focal abnormality in airspace disease,0.8203125,0,medgemma-4b-it
focal left lateral base,focal abnormality in airspace disease,0.96875,1,medgemma-4b-it
focal left lateral base,focal abnormality in airspace disease,0.890625,0,medgemma-4b-it
focal left lateral base,focal abnormality in airspace disease,0.1865234375,1,medgemma-4b-it
focal left lateral base,focal abnormality in airspace disease,0.9375,0,medgemma-4b-it
focal left lateral base,focal abnormality in airspace disease,0.1650390625,0,medgemma-4b-it
aorto-iliac aneurysm,pleural effusion,0.212890625,0,medgemma-4b-it
aorto-iliac aneurysm,pleural effusion,0.94140625,1,medgemma-4b-it
aorto-iliac aneurysm,pleural effusion,0.96875,1,medgemma-4b-it
normal,normal,0.09814453125,0,medgemma-4b-it
left lower lobe ate,pulmonary atelectasis,1.0,0,medgemma-4b-it
left lower lobe ate,pulmonary atelectasis,0.55859375,1,medgemma-4b-it
left lower lobe ate,pulmonary atelectasis,0.10400390625,0,medgemma-4b-it
left lower lobe ate,pulmonary atelectasis,0.427734375,1,medgemma-4b-it
left lower lobe ate,pulmonary atelectasis,0.98828125,1,medgemma-4b-it
normal,normal,0.09814453125,0,medgemma-4b-it
left lower lobe opacity,cardiomegaly,0.16796875,0,medgemma-4b-it
left lower lobe opacity,cardiomegaly,0.703125,1,medgemma-4b-it
left lower lobe opacity,cardiomegaly,0.8984375,1,medgemma-4b-it
left upper lobe airspace,pneumonia,0.4453125,0,medgemma-4b-it
left upper lobe airspace,pneumonia,0.95703125,1,medgemma-4b-it
normal,normal,0.09814453125,0,medgemma-4b-it
normal,normal,0.09814453125,0,medgemma-4b-it
normal,normal,0.09814453125,0,medgemma-4b-it
normal,"bone diseases, metabolic",0.10205078125,0,medgemma-4b-it
normal,"bone diseases, metabolic",0.08544921875,0,medgemma-4b-it
normal,"bone diseases, metabolic",0.2314453125,0,medgemma-4b-it
normal,"bone diseases, metabolic",0.28125,0,medgemma-4b-it
normal,normal,0.09814453125,0,medgemma-4b-it
normal,pulmonary atelectasis,0.10205078125,0,medgemma-4b-it
normal,pulmonary atelectasis,0.166015625,0,medgemma-4b-it
normal,pulmonary atelectasis,0.146484375,0,medgemma-4b-it
normal,pulmonary atelectasis,0.9921875,1,medgemma-4b-it
normal,pulmonary atelectasis,0.9921875,1,medgemma-4b-it
normal,normal,0.09814453125,0,medgemma-4b-it
normal,tortuous vessel in aorta,0.10205078125,0,medgemma-4b-it
normal,tortuous vessel in aorta,0.515625,0,medgemma-4b-it
normal,tortuous vessel in aorta,0.08349609375,0,medgemma-4b-it
normal,tortuous vessel in aorta,0.14453125,0,medgemma-4b-it
normal,tortuous vessel in aorta,0.609375,0,medgemma-4b-it
central left lung mass,granuloma,0.166015625,0,medgemma-4b-it
central left lung mass,granuloma,0.83203125,1,medgemma-4b-it
central left lung mass,granuloma,0.451171875,0,medgemma-4b-it
normal,cardiomegaly,0.10205078125,0,medgemma-4b-it
normal,cardiomegaly,0.1240234375,0,medgemma-4b-it
normal,cardiomegaly,0.9921875,1,medgemma-4b-it
normal,normal,0.09814453125,0,medgemma-4b-it
normal ``` normal ```,normal,0.28515625,0,medgemma-4b-it
normal,lung hypoinflation in lung,0.1748046875,0,medgemma-4b-it
normal,lung hypoinflation in lung,0.2373046875,0,medgemma-4b-it
normal,lung hypoinflation in lung,0.083984375,0,medgemma-4b-it
normal,lung hypoinflation in lung,0.162109375,0,medgemma-4b-it
normal,lung hypoinflation in lung,0.9296875,0,medgemma-4b-it
normal,lung hypoinflation in lung,0.76171875,0,medgemma-4b-it
normal,lung hypoinflation in lung,0.20703125,0,medgemma-4b-it
normal ``` normal ```,normal,0.28515625,0,medgemma-4b-it
normal,cardiomegaly,0.10205078125,0,medgemma-4b-it
normal,cardiomegaly,0.1240234375,0,medgemma-4b-it
normal,cardiomegaly,0.9921875,1,medgemma-4b-it
