prompt,response,confidence,correct,model
normal,normal,0.0177001953125,0,Qwen3-VL-8B-Instruct-RLVR_aligned
normal,normal,0.0177001953125,0,Qwen3-VL-8B-Instruct-RLVR_aligned
cardiomegaly,cardiomegaly,0.66796875,0,Qwen3-VL-8B-Instruct-RLVR_aligned
cardiomegaly,cardiomegaly,0.734375,0,Qwen3-VL-8B-Instruct-RLVR_aligned
cardiomegaly,cardiomegaly,0.73046875,0,Qwen3-VL-8B-Instruct-RLVR_aligned
cardiomegaly,cardiomegaly,0.9453125,0,Qwen3-VL-8B-Instruct-RLVR_aligned
cardiomegaly,cardiomegaly,0.1318359375,0,Qwen3-VL-8B-Instruct-RLVR_aligned
normal,normal,0.0177001953125,0,Qwen3-VL-8B-Instruct-RLVR_aligned
focal abnormality in airspace,focal abnormality in airspace disease,0.2099609375,0,Qwen3-VL-8B-Instruct-RLVR_aligned
focal abnormality in airspace,focal abnormality in airspace disease,0.107421875,1,Qwen3-VL-8B-Instruct-RLVR_aligned
focal abnormality in airspace,focal abnormality in airspace disease,0.76953125,1,Qwen3-VL-8B-Instruct-RLVR_aligned
focal abnormality in airspace,focal abnormality in airspace disease,0.99609375,1,Qwen3-VL-8B-Instruct-RLVR_aligned
focal abnormality in airspace,focal abnormality in airspace disease,0.80078125,1,Qwen3-VL-8B-Instruct-RLVR_aligned
focal abnormality in airspace,focal abnormality in airspace disease,0.94921875,1,Qwen3-VL-8B-Instruct-RLVR_aligned
focal abnormality in airspace,focal abnormality in airspace disease,0.2109375,0,Qwen3-VL-8B-Instruct-RLVR_aligned
pulmonary atelectasis,pleural effusion,0.1796875,0,Qwen3-VL-8B-Instruct-RLVR_aligned
pulmonary atelectasis,pleural effusion,0.7421875,1,Qwen3-VL-8B-Instruct-RLVR_aligned
pulmonary atelectasis,pleural effusion,0.984375,1,Qwen3-VL-8B-Instruct-RLVR_aligned
pulmonary atelectasis,pleural effusion,0.94921875,1,Qwen3-VL-8B-Instruct-RLVR_aligned
normal,normal,0.0177001953125,0,Qwen3-VL-8B-Instruct-RLVR_aligned
pulmonary atelectasis,pulmonary atelectasis,0.1806640625,0,Qwen3-VL-8B-Instruct-RLVR_aligned
pulmonary atelectasis,pulmonary atelectasis,0.9375,1,Qwen3-VL-8B-Instruct-RLVR_aligned
pulmonary atelectasis,pulmonary atelectasis,0.9921875,1,Qwen3-VL-8B-Instruct-RLVR_aligned
pulmonary atelectasis,pulmonary atelectasis,0.88671875,1,Qwen3-VL-8B-Instruct-RLVR_aligned
pulmonary atelectasis,pulmonary atelectasis,1.0,1,Qwen3-VL-8B-Instruct-RLVR_aligned
pulmonary atelectasis,pulmonary atelectasis,0.9375,1,Qwen3-VL-8B-Instruct-RLVR_aligned
