"model","EM","F1","BA","MRR","BS","KL","model_type","source_file","Perp","base_model","is_finetuned"
"vit_b16_head_only",0.4048,0.3093,0.6239,0.5061,0.7968,2.9371,"vision","evaluation_stats_vision.csv",NA,"vit_b16_head_only",FALSE
"alexnet",0.4183,0.3179,0.6263,0.507,0.8049,3.0406,"vision","evaluation_stats_vision.csv",NA,"alexnet",FALSE
"resnet101",0.3943,0.2968,0.6251,0.4915,0.7996,3.2332,"vision","evaluation_stats_vision.csv",NA,"resnet101",FALSE
"swin_v2_b",0.4138,0.3151,0.6275,0.5055,0.7862,3.1393,"vision","evaluation_stats_vision.csv",NA,"swin_v2_b",FALSE
"vgg19",0.4108,0.3128,0.624,0.4969,0.9265,3.5652,"vision","evaluation_stats_vision.csv",NA,"vgg19",FALSE
"alexnet-finetuned",0.4258,0.3242,0.6286,0.5175,0.8075,3.0067,"vision_finetuned","evaluation_stats_trained_vision.csv",NA,"alexnet",TRUE
"resnet101-finetuned",0.4033,0.3058,0.6302,0.4984,0.8351,3.3177,"vision_finetuned","evaluation_stats_trained_vision.csv",NA,"resnet101",TRUE
"medical-coding-llm",0.6992,0.6992,0.8484,0.8152,0.7019,2.1217,"text","evaluation_stats_text.csv",8.3454,"medical-coding-llm",FALSE
"Phi-3-mini-4k-instruct",0.7526,0.7526,0.8754,0.8482,0.6522,1.8809,"text","evaluation_stats_text.csv",6.5594,"Phi-3-mini-4k-instruct",FALSE
"meditron-7b",0.2729,0.2729,0.6336,0.5345,0.9582,4.0685,"text","evaluation_stats_text.csv",58.467,"meditron-7b",FALSE
"Meta-Llama-3.1-8B-Instruct-bnb-4bit",0.3043,0.3043,0.6495,0.5707,0.8493,2.5909,"text","evaluation_stats_text.csv",13.3419,"Meta-Llama-3.1-8B-Instruct-bnb-4bit",FALSE
"Qwen2.5-7b-medical",0.7751,0.7751,0.8867,0.8662,0.3014,0.6576,"text","evaluation_stats_text.csv",1.9301,"Qwen2.5-7b-medical",FALSE
"Qwen2.5-7B-Instruct",0.7886,0.7886,0.8935,0.8741,0.329,0.939,"text","evaluation_stats_text.csv",2.5573,"Qwen2.5-7B-Instruct",FALSE
"medgemma-4b-it",0.5787,0.5787,0.7877,0.7433,0.7064,2.3638,"text","evaluation_stats_text.csv",10.6312,"medgemma-4b-it",FALSE
"gemma-3-4b-it",0.5457,0.5457,0.7711,0.7289,0.8767,3.7533,"text","evaluation_stats_text.csv",42.6623,"gemma-3-4b-it",FALSE
"SmolVLM-Instruct",0.2669,0.2669,0.6306,0.5354,0.9517,5.188,"vlm","evaluation_stats_vlm.csv",179.1045,"SmolVLM-Instruct",FALSE
"Qwen3-VL-4B-Instruct",0.7586,0.7586,0.8784,0.8518,0.4201,1.4951,"vlm","evaluation_stats_vlm.csv",4.4598,"Qwen3-VL-4B-Instruct",FALSE
"Qwen3-VL-8B-Instruct",0.8351,0.8351,0.9169,0.9003,0.2742,0.8938,"vlm","evaluation_stats_vlm.csv",2.4444,"Qwen3-VL-8B-Instruct",FALSE
"BLIP2-OPT-2.7B",0.2729,0.2729,0.6336,0.5372,0.8752,2.6256,"vlm","evaluation_stats_vlm.csv",13.8131,"BLIP2-OPT-2.7B",FALSE
"Llama-3.2-11B-Vision",0.2714,0.2714,0.6329,0.5406,0.8236,1.8469,"vlm","evaluation_stats_vlm.csv",6.34,"Llama-3.2-11B-Vision",FALSE
"SmolVLM-Instruct_notext",0.2684,0.2684,0.6314,0.5356,0.9509,5.2038,"vlm","evaluation_stats_vlm.csv",181.9542,"SmolVLM-Instruct_notext",FALSE
"Qwen3-VL-8B-Instruct_notext",0.5127,0.5127,0.7545,0.6933,0.7798,2.0989,"vlm","evaluation_stats_vlm.csv",8.1572,"Qwen3-VL-8B-Instruct_notext",FALSE
"Qwen2.5-7B-Instruct-finetuned",0.961,0.961,0.9804,0.9779,0.1067,0.3781,"vlm_finetuned","evaluation_stats_finetuned.csv",1.4595,"Qwen2.5-7B-Instruct",TRUE
"meditron-7b-finetuned",0.6837,0.6837,0.8406,0.816,1,22.4823,"vlm_finetuned","evaluation_stats_finetuned.csv",5806627127.4651,"meditron-7b",TRUE
"Qwen3-VL-8B-Instruct-finetuned",0.97,0.97,0.9849,0.9828,0.0543,0.3429,"vlm_finetuned","evaluation_stats_finetuned.csv",1.4091,"Qwen3-VL-8B-Instruct",TRUE
"SmolVLM-Instruct-finetuned",0.5817,0.5817,0.7892,0.754,0.5497,1.0317,"vlm_finetuned","evaluation_stats_finetuned.csv",2.8059,"SmolVLM-Instruct",TRUE
