prompt,response,confidence,correct,model
normal,normal,1.0,0,Qwen2.5-7B-Instruct-finetuned
normal,normal,1.0,0,Qwen2.5-7B-Instruct-finetuned
cardiomegaly,cardiomegaly,0.28515625,0,Qwen2.5-7B-Instruct-finetuned
cardiomegaly,cardiomegaly,0.96875,0,Qwen2.5-7B-Instruct-finetuned
cardiomegaly,cardiomegaly,0.99609375,0,Qwen2.5-7B-Instruct-finetuned
cardiomegaly,cardiomegaly,0.9921875,0,Qwen2.5-7B-Instruct-finetuned
cardiomegaly,cardiomegaly,0.2041015625,0,Qwen2.5-7B-Instruct-finetuned
normal,normal,1.0,0,Qwen2.5-7B-Instruct-finetuned
pulmonary atelectasis,focal abnormality in airspace disease,0.169921875,0,Qwen2.5-7B-Instruct-finetuned
pulmonary atelectasis,focal abnormality in airspace disease,0.158203125,0,Qwen2.5-7B-Instruct-finetuned
pulmonary atelectasis,focal abnormality in airspace disease,0.390625,0,Qwen2.5-7B-Instruct-finetuned
pulmonary atelectasis,focal abnormality in airspace disease,1.0,1,Qwen2.5-7B-Instruct-finetuned
pulmonary atelectasis,focal abnormality in airspace disease,0.9765625,1,Qwen2.5-7B-Instruct-finetuned
pulmonary atelectasis,focal abnormality in airspace disease,0.99609375,0,Qwen2.5-7B-Instruct-finetuned
pulmonary atelectasis,focal abnormality in airspace disease,0.24609375,0,Qwen2.5-7B-Instruct-finetuned
pleural effusion,pleural effusion,0.29296875,0,Qwen2.5-7B-Instruct-finetuned
pleural effusion,pleural effusion,0.99609375,1,Qwen2.5-7B-Instruct-finetuned
pleural effusion,pleural effusion,0.734375,1,Qwen2.5-7B-Instruct-finetuned
pleural effusion,pleural effusion,0.99609375,1,Qwen2.5-7B-Instruct-finetuned
normal,normal,1.0,0,Qwen2.5-7B-Instruct-finetuned
pulmonary atelectasis,pulmonary atelectasis,0.169921875,0,Qwen2.5-7B-Instruct-finetuned
pulmonary atelectasis,pulmonary atelectasis,1.0,1,Qwen2.5-7B-Instruct-finetuned
pulmonary atelectasis,pulmonary atelectasis,1.0,1,Qwen2.5-7B-Instruct-finetuned
pulmonary atelectasis,pulmonary atelectasis,0.5546875,1,Qwen2.5-7B-Instruct-finetuned
pulmonary atelectasis,pulmonary atelectasis,0.99609375,1,Qwen2.5-7B-Instruct-finetuned
pulmonary atelectasis,pulmonary atelectasis,0.99609375,1,Qwen2.5-7B-Instruct-finetuned
normal,normal,1.0,0,Qwen2.5-7B-Instruct-finetuned
cardiomegaly,cardiomegaly,0.28515625,0,Qwen2.5-7B-Instruct-finetuned
cardiomegaly,cardiomegaly,0.96875,0,Qwen2.5-7B-Instruct-finetuned
cardiomegaly,cardiomegaly,0.99609375,0,Qwen2.5-7B-Instruct-finetuned
cardiomegaly,cardiomegaly,0.9921875,0,Qwen2.5-7B-Instruct-finetuned
cardiomegaly,cardiomegaly,0.2041015625,0,Qwen2.5-7B-Instruct-finetuned
pleural effusion,pneumonia,0.29296875,0,Qwen2.5-7B-Instruct-finetuned
pleural effusion,pneumonia,0.42578125,1,Qwen2.5-7B-Instruct-finetuned
pleural effusion,pneumonia,1.0,1,Qwen2.5-7B-Instruct-finetuned
pleural effusion,pneumonia,0.95703125,0,Qwen2.5-7B-Instruct-finetuned
normal,normal,1.0,0,Qwen2.5-7B-Instruct-finetuned
normal,normal,1.0,0,Qwen2.5-7B-Instruct-finetuned
normal,normal,1.0,0,Qwen2.5-7B-Instruct-finetuned
calcinosis calcified gran,"bone diseases, metabolic",0.98828125,0,Qwen2.5-7B-Instruct-finetuned
calcinosis calcified gran,"bone diseases, metabolic",0.126953125,0,Qwen2.5-7B-Instruct-finetuned
calcinosis calcified gran,"bone diseases, metabolic",0.2890625,0,Qwen2.5-7B-Instruct-finetuned
calcinosis calcified gran,"bone diseases, metabolic",0.8359375,0,Qwen2.5-7B-Instruct-finetuned
normal,normal,1.0,0,Qwen2.5-7B-Instruct-finetuned
pulmonary atelectasis,pulmonary atelectasis,0.169921875,0,Qwen2.5-7B-Instruct-finetuned
pulmonary atelectasis,pulmonary atelectasis,1.0,1,Qwen2.5-7B-Instruct-finetuned
pulmonary atelectasis,pulmonary atelectasis,1.0,1,Qwen2.5-7B-Instruct-finetuned
pulmonary atelectasis,pulmonary atelectasis,0.5546875,1,Qwen2.5-7B-Instruct-finetuned
pulmonary atelectasis,pulmonary atelectasis,0.99609375,1,Qwen2.5-7B-Instruct-finetuned
pulmonary atelectasis,pulmonary atelectasis,0.99609375,1,Qwen2.5-7B-Instruct-finetuned
normal,normal,1.0,0,Qwen2.5-7B-Instruct-finetuned
aortic aneurysm,tortuous vessel in aorta,0.1728515625,0,Qwen2.5-7B-Instruct-finetuned
aortic aneurysm,tortuous vessel in aorta,0.8359375,0,Qwen2.5-7B-Instruct-finetuned
aortic aneurysm,tortuous vessel in aorta,0.294921875,0,Qwen2.5-7B-Instruct-finetuned
aortic aneurysm,tortuous vessel in aorta,0.6171875,0,Qwen2.5-7B-Instruct-finetuned
aortic aneurysm,tortuous vessel in aorta,0.78515625,0,Qwen2.5-7B-Instruct-finetuned
aortic aneurysm,tortuous vessel in aorta,0.361328125,0,Qwen2.5-7B-Instruct-finetuned
aortic aneurysm,tortuous vessel in aorta,0.60546875,0,Qwen2.5-7B-Instruct-finetuned
granuloma,granuloma,0.474609375,0,Qwen2.5-7B-Instruct-finetuned
granuloma,granuloma,0.55078125,0,Qwen2.5-7B-Instruct-finetuned
granuloma,granuloma,0.99609375,0,Qwen2.5-7B-Instruct-finetuned
cardiomegaly,cardiomegaly,0.28515625,0,Qwen2.5-7B-Instruct-finetuned
cardiomegaly,cardiomegaly,0.96875,0,Qwen2.5-7B-Instruct-finetuned
cardiomegaly,cardiomegaly,0.99609375,0,Qwen2.5-7B-Instruct-finetuned
cardiomegaly,cardiomegaly,0.9921875,0,Qwen2.5-7B-Instruct-finetuned
cardiomegaly,cardiomegaly,0.2041015625,0,Qwen2.5-7B-Instruct-finetuned
normal,normal,1.0,0,Qwen2.5-7B-Instruct-finetuned
normal,normal,1.0,0,Qwen2.5-7B-Instruct-finetuned
lung hypoinflation in lung,lung hypoinflation in lung,0.2431640625,0,Qwen2.5-7B-Instruct-finetuned
lung hypoinflation in lung,lung hypoinflation in lung,0.9765625,1,Qwen2.5-7B-Instruct-finetuned
lung hypoinflation in lung,lung hypoinflation in lung,1.0,1,Qwen2.5-7B-Instruct-finetuned
lung hypoinflation in lung,lung hypoinflation in lung,1.0,1,Qwen2.5-7B-Instruct-finetuned
lung hypoinflation in lung,lung hypoinflation in lung,0.359375,1,Qwen2.5-7B-Instruct-finetuned
