prompt,response,confidence,correct,model
normal,normal,1.0,0,Qwen2.5-7B-Instruct-RLVR_aligned
normal,normal,1.0,0,Qwen2.5-7B-Instruct-RLVR_aligned
cardiomegaly,cardiomegaly,0.296875,0,Qwen2.5-7B-Instruct-RLVR_aligned
cardiomegaly,cardiomegaly,0.96875,0,Qwen2.5-7B-Instruct-RLVR_aligned
cardiomegaly,cardiomegaly,0.99609375,0,Qwen2.5-7B-Instruct-RLVR_aligned
cardiomegaly,cardiomegaly,0.98828125,0,Qwen2.5-7B-Instruct-RLVR_aligned
cardiomegaly,cardiomegaly,0.1982421875,0,Qwen2.5-7B-Instruct-RLVR_aligned
normal,normal,1.0,0,Qwen2.5-7B-Instruct-RLVR_aligned
pulmonary atelectasis,focal abnormality in airspace disease,0.171875,0,Qwen2.5-7B-Instruct-RLVR_aligned
pulmonary atelectasis,focal abnormality in airspace disease,0.150390625,0,Qwen2.5-7B-Instruct-RLVR_aligned
pulmonary atelectasis,focal abnormality in airspace disease,0.357421875,0,Qwen2.5-7B-Instruct-RLVR_aligned
pulmonary atelectasis,focal abnormality in airspace disease,1.0,1,Qwen2.5-7B-Instruct-RLVR_aligned
pulmonary atelectasis,focal abnormality in airspace disease,0.98046875,1,Qwen2.5-7B-Instruct-RLVR_aligned
pulmonary atelectasis,focal abnormality in airspace disease,0.9921875,0,Qwen2.5-7B-Instruct-RLVR_aligned
pulmonary atelectasis,focal abnormality in airspace disease,0.30859375,0,Qwen2.5-7B-Instruct-RLVR_aligned
cardiomegaly,pleural effusion,0.154296875,0,Qwen2.5-7B-Instruct-RLVR_aligned
cardiomegaly,pleural effusion,0.99609375,1,Qwen2.5-7B-Instruct-RLVR_aligned
cardiomegaly,pleural effusion,0.96875,1,Qwen2.5-7B-Instruct-RLVR_aligned
cardiomegaly,pleural effusion,0.9375,1,Qwen2.5-7B-Instruct-RLVR_aligned
normal,normal,1.0,0,Qwen2.5-7B-Instruct-RLVR_aligned
pulmonary atelectasis,pulmonary atelectasis,0.1748046875,0,Qwen2.5-7B-Instruct-RLVR_aligned
pulmonary atelectasis,pulmonary atelectasis,1.0,1,Qwen2.5-7B-Instruct-RLVR_aligned
pulmonary atelectasis,pulmonary atelectasis,1.0,1,Qwen2.5-7B-Instruct-RLVR_aligned
pulmonary atelectasis,pulmonary atelectasis,0.52734375,1,Qwen2.5-7B-Instruct-RLVR_aligned
pulmonary atelectasis,pulmonary atelectasis,0.99609375,1,Qwen2.5-7B-Instruct-RLVR_aligned
pulmonary atelectasis,pulmonary atelectasis,0.99609375,1,Qwen2.5-7B-Instruct-RLVR_aligned
normal,normal,1.0,0,Qwen2.5-7B-Instruct-RLVR_aligned
cardiomegaly,cardiomegaly,0.296875,0,Qwen2.5-7B-Instruct-RLVR_aligned
cardiomegaly,cardiomegaly,0.96875,0,Qwen2.5-7B-Instruct-RLVR_aligned
cardiomegaly,cardiomegaly,0.99609375,0,Qwen2.5-7B-Instruct-RLVR_aligned
