prompt,response,confidence,correct,model
normal,normal,0.0157470703125,0,Qwen3-VL-8B-Instruct-frugalVL
normal,normal,0.0157470703125,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.671875,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.734375,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.75390625,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.94140625,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.126953125,0,Qwen3-VL-8B-Instruct-frugalVL
normal,normal,0.0157470703125,0,Qwen3-VL-8B-Instruct-frugalVL
focal airspace consolidation,focal abnormality in airspace disease,0.1064453125,0,Qwen3-VL-8B-Instruct-frugalVL
focal airspace consolidation,focal abnormality in airspace disease,0.62109375,1,Qwen3-VL-8B-Instruct-frugalVL
focal airspace consolidation,focal abnormality in airspace disease,0.8984375,0,Qwen3-VL-8B-Instruct-frugalVL
focal airspace consolidation,focal abnormality in airspace disease,0.7421875,1,Qwen3-VL-8B-Instruct-frugalVL
focal airspace consolidation,focal abnormality in airspace disease,0.125,1,Qwen3-VL-8B-Instruct-frugalVL
focal airspace consolidation,focal abnormality in airspace disease,0.60546875,0,Qwen3-VL-8B-Instruct-frugalVL
focal airspace consolidation,focal abnormality in airspace disease,0.240234375,0,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,pleural effusion,0.1787109375,0,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,pleural effusion,0.74609375,1,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,pleural effusion,0.984375,1,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,pleural effusion,0.94921875,1,Qwen3-VL-8B-Instruct-frugalVL
normal,normal,0.0157470703125,0,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,pulmonary atelectasis,0.1787109375,0,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,pulmonary atelectasis,0.9296875,1,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,pulmonary atelectasis,0.9921875,1,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,pulmonary atelectasis,0.890625,1,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,pulmonary atelectasis,1.0,1,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,pulmonary atelectasis,0.9375,1,Qwen3-VL-8B-Instruct-frugalVL
normal,normal,0.0157470703125,0,Qwen3-VL-8B-Instruct-frugalVL
pulmonary opacity,cardiomegaly,0.162109375,0,Qwen3-VL-8B-Instruct-frugalVL
pulmonary opacity,cardiomegaly,0.74609375,1,Qwen3-VL-8B-Instruct-frugalVL
pulmonary opacity,cardiomegaly,1.0,1,Qwen3-VL-8B-Instruct-frugalVL
pulmonary opacity,cardiomegaly,1.0,1,Qwen3-VL-8B-Instruct-frugalVL
pulmonary opacity,cardiomegaly,0.99609375,1,Qwen3-VL-8B-Instruct-frugalVL
pneumonia,pneumonia,0.337890625,0,Qwen3-VL-8B-Instruct-frugalVL
pneumonia,pneumonia,0.169921875,1,Qwen3-VL-8B-Instruct-frugalVL
pneumonia,pneumonia,0.9609375,1,Qwen3-VL-8B-Instruct-frugalVL
pneumonia,pneumonia,0.625,0,Qwen3-VL-8B-Instruct-frugalVL
normal,normal,0.0157470703125,0,Qwen3-VL-8B-Instruct-frugalVL
normal,normal,0.0157470703125,0,Qwen3-VL-8B-Instruct-frugalVL
normal,normal,0.0157470703125,0,Qwen3-VL-8B-Instruct-frugalVL
calcinosis,"bone diseases, metabolic",0.302734375,0,Qwen3-VL-8B-Instruct-frugalVL
calcinosis,"bone diseases, metabolic",0.275390625,0,Qwen3-VL-8B-Instruct-frugalVL
calcinosis,"bone diseases, metabolic",0.1669921875,0,Qwen3-VL-8B-Instruct-frugalVL
calcinosis,"bone diseases, metabolic",0.08056640625,0,Qwen3-VL-8B-Instruct-frugalVL
normal,normal,0.0157470703125,0,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,pulmonary atelectasis,0.1787109375,0,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,pulmonary atelectasis,0.9296875,1,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,pulmonary atelectasis,0.9921875,1,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,pulmonary atelectasis,0.890625,1,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,pulmonary atelectasis,1.0,1,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,pulmonary atelectasis,0.9375,1,Qwen3-VL-8B-Instruct-frugalVL
normal,normal,0.0157470703125,0,Qwen3-VL-8B-Instruct-frugalVL
degenerative change in thor,tortuous vessel in aorta,0.142578125,0,Qwen3-VL-8B-Instruct-frugalVL
degenerative change in thor,tortuous vessel in aorta,0.53125,0,Qwen3-VL-8B-Instruct-frugalVL
degenerative change in thor,tortuous vessel in aorta,0.1357421875,0,Qwen3-VL-8B-Instruct-frugalVL
degenerative change in thor,tortuous vessel in aorta,0.1015625,0,Qwen3-VL-8B-Instruct-frugalVL
degenerative change in thor,tortuous vessel in aorta,0.1826171875,0,Qwen3-VL-8B-Instruct-frugalVL
degenerative change in thor,tortuous vessel in aorta,0.173828125,0,Qwen3-VL-8B-Instruct-frugalVL
degenerative change in thor,tortuous vessel in aorta,0.64453125,1,Qwen3-VL-8B-Instruct-frugalVL
granuloma,granuloma,0.5078125,0,Qwen3-VL-8B-Instruct-frugalVL
granuloma,granuloma,0.0673828125,0,Qwen3-VL-8B-Instruct-frugalVL
granuloma,granuloma,0.11083984375,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.671875,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.734375,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.75390625,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.94140625,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.126953125,0,Qwen3-VL-8B-Instruct-frugalVL
normal,normal,0.0157470703125,0,Qwen3-VL-8B-Instruct-frugalVL
normal,normal,0.0157470703125,0,Qwen3-VL-8B-Instruct-frugalVL
lung hypoinflation in lung,lung hypoinflation in lung,0.0810546875,0,Qwen3-VL-8B-Instruct-frugalVL
lung hypoinflation in lung,lung hypoinflation in lung,0.1982421875,1,Qwen3-VL-8B-Instruct-frugalVL
lung hypoinflation in lung,lung hypoinflation in lung,0.87890625,1,Qwen3-VL-8B-Instruct-frugalVL
lung hypoinflation in lung,lung hypoinflation in lung,1.0,1,Qwen3-VL-8B-Instruct-frugalVL
lung hypoinflation in lung,lung hypoinflation in lung,0.77734375,1,Qwen3-VL-8B-Instruct-frugalVL
lung hypoinflation in lung,lung hypoinflation in lung,0.75,1,Qwen3-VL-8B-Instruct-frugalVL
normal,normal,0.0157470703125,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.671875,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.734375,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.75390625,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.94140625,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.126953125,0,Qwen3-VL-8B-Instruct-frugalVL
normal,normal,0.0157470703125,0,Qwen3-VL-8B-Instruct-frugalVL
normal,normal,0.0157470703125,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.671875,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.734375,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.75390625,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.94140625,0,Qwen3-VL-8B-Instruct-frugalVL
cardiomegaly,cardiomegaly,0.126953125,0,Qwen3-VL-8B-Instruct-frugalVL
normal,normal,0.0157470703125,0,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,calcified granuloma,0.28125,0,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,calcified granuloma,0.0556640625,0,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,calcified granuloma,0.455078125,0,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,calcified granuloma,0.443359375,0,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,calcified granuloma,0.98046875,0,Qwen3-VL-8B-Instruct-frugalVL
degenerative change in spine,pulmonary atelectasis,0.18359375,0,Qwen3-VL-8B-Instruct-frugalVL
degenerative change in spine,pulmonary atelectasis,0.07568359375,0,Qwen3-VL-8B-Instruct-frugalVL
degenerative change in spine,pulmonary atelectasis,0.451171875,1,Qwen3-VL-8B-Instruct-frugalVL
degenerative change in spine,pulmonary atelectasis,0.171875,0,Qwen3-VL-8B-Instruct-frugalVL
degenerative change in spine,pulmonary atelectasis,0.99609375,1,Qwen3-VL-8B-Instruct-frugalVL
degenerative change in spine,pulmonary atelectasis,0.90625,1,Qwen3-VL-8B-Instruct-frugalVL
normal,normal,0.0157470703125,0,Qwen3-VL-8B-Instruct-frugalVL
atrophy,cicatrix,0.66015625,0,Qwen3-VL-8B-Instruct-frugalVL
atrophy,cicatrix,0.4765625,0,Qwen3-VL-8B-Instruct-frugalVL
atrophy,cicatrix,0.125,0,Qwen3-VL-8B-Instruct-frugalVL
calcified granuloma,calcified granuloma,0.8984375,0,Qwen3-VL-8B-Instruct-frugalVL
calcified granuloma,calcified granuloma,0.21875,0,Qwen3-VL-8B-Instruct-frugalVL
calcified granuloma,calcified granuloma,0.3984375,0,Qwen3-VL-8B-Instruct-frugalVL
calcified granuloma,calcified granuloma,0.314453125,0,Qwen3-VL-8B-Instruct-frugalVL
calcified granuloma,calcified granuloma,1.0,0,Qwen3-VL-8B-Instruct-frugalVL
normal,normal,0.0157470703125,0,Qwen3-VL-8B-Instruct-frugalVL
calcinosis,cicatrix,0.12451171875,0,Qwen3-VL-8B-Instruct-frugalVL
calcinosis,cicatrix,0.1318359375,0,Qwen3-VL-8B-Instruct-frugalVL
calcinosis,cicatrix,0.375,0,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,atherosclerosis,0.1787109375,0,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,atherosclerosis,0.94140625,1,Qwen3-VL-8B-Instruct-frugalVL
pulmonary atelectasis,atherosclerosis,0.84765625,1,Qwen3-VL-8B-Instruct-frugalVL
